Dataset including locations of surface slope breaks displaced upstream from flexural grounding line
Column 1: x-position (meters) on South Polar stereographic projection
Column 2: y-position (meters) on South Polar stereographic projection
Column 3: Displacement (meters) of surface slope break (Ib) from flexural grounding line (F)

x(m),y(m),displacement(m)
-2323279.12660323,1269717.28388784,2934.78086429267
-2315459.18954708,1228875.68376873,1250.37208144103
-2315444.33667461,1225312.97264446,6552.51379253662
-2321186.51111796,1223804.55411953,2095.01949004327
-2093677.32939975,1037012.12857227,7217.76719375382
-2320887.53871858,1223735.66979819,390.102331862534
-2333928.23383655,1232559.13813681,5015.40748283277
-2081023.62285533,1041315.65959786,3575.69647613713
-2233144.44456641,1025838.43584927,78.6666756251169
-2297338.76857265,1276377.43447986,180.002653798559
-2233015.05817123,1025845.89038399,30.1469944485785
-2110865.64408068,1048292.37023292,731.92868056349
-2233115.36914304,1025927.98482721,1527.34927768197
-2217367.50099348,1024382.01252865,5113.78360161202
-2229957.58235426,1024900.56765071,3186.61875315257
-2229837.9277755,1024812.58658315,3090.43701415099
-2088905.56418961,1042399.76488869,4228.69755637329
-2217473.18490002,1024317.85400253,858.830048387361
-2103098.74884659,1035201.37949711,1054.33076178832
-2114619.98891683,1063425.08476796,4075.7607636724
-2103057.27557862,1035118.12352067,1121.58780221447
-2120842.2113164,1063470.0169401,1065.11655707806
-2096330.23493647,1034709.31612103,2483.37749875282
-2348240.42246061,1233198.13734035,2118.74579075839
-2232006.12573377,1040696.92037508,1582.36330676999
-2321801.68870097,1269827.71384545,46.8109096924832
-2294708.13602888,1284234.15103146,2511.00334208588
-2111728.41886351,1041958.62288803,5033.32596999038
-2112613.25146338,1079675.95369805,0
-1918465.255743,1004604.02159011,347.760412282844
-2119417.99208143,995528.85390386,218.820126792624
-2321875.73832741,1269806.97938556,2751.63879389472
-2108678.73742978,1072254.05869499,4208.59263145415
-2348262.73262937,1229151.47770074,1.52348906275694
-2119365.81188086,995551.682182997,61.4301539064773
-1964769.04920478,1044836.7358749,1061.71805738155
-2224672.35966506,1042804.30692466,40.2414709852121
-2001436.09946601,1037479.89461189,3130.38030416908
-1992236.7294385,1049720.34936935,2.8577099483111
-1918520.26286514,1004587.33532109,402.162854220792
-2038466.11000991,1135229.65845907,892.943952010627
-1921767.59274462,1006893.63136794,58.7090319781924
-2121159.51753801,1022763.6899359,4289.41000335195
-2296701.2265495,1183984.11804212,763.152944588846
-2232502.44081031,1049055.7367315,1861.96916559105
-2113138.56588107,1045694.63499093,3589.27050192362
-2304898.45297114,1126223.53328406,45.9066402002068
-2299020.97242251,1190037.55144475,2694.65547602879
-2245100.71244378,1021674.42647527,389.090810063822
-2180826.15978962,1008810.15570926,23.1704142620514
-2093964.9065404,1035639.50390113,1898.27934929569
-2307119.25269282,1239865.59147208,38.321456342691
-2015409.80433052,1067893.53063805,705.16961588473
-2223762.80961877,1046079.70478665,18.9961080410116
-2115501.55471786,1073621.96748551,55.1044080819929
-2092199.30234217,1038651.29408828,455.963109170459
-1921776.96129617,1006845.08815423,10.8964698430433
-2112159.56743513,1070507.10795689,3742.7718663904
-2314563.2515109,1279620.96202271,510.34298274936
-1987295.57255263,1048253.70684474,394.019349119495
-2317337.00448635,1267906.05116511,2.2114787313277
-2113041.38225839,1045733.33503771,4956.20986935808
-2093524.91512532,1037025.51917573,7348.61377654851
-2299026.64418003,1190139.63212681,2211.19417499412
-2304137.26592628,1246106.90027599,1128.45454658853
-2232042.90213873,1040757.6707244,1381.49590096613
-2093905.39547256,1035567.16004919,706.044474004256
-2283469.55527271,1175448.28171627,296.380937245914
-2027847.87357887,1063168.07795125,90.0235013999727
-1845029.89086624,1038342.06079317,6.09678633014916
-2027709.31639769,1063217.09663393,438.942702888272
-2304549.48114981,1126057.11168605,421.478378078487
-2170965.26286426,1020515.83863632,3068.81212240587
-2112092.15117007,1070572.05508883,3847.40602154152
-2328777.49388838,1272566.78392915,80.14853248121
-2321987.39951102,1269801.26182495,4013.8302391187
-2111665.673084,1041834.91425892,5431.54177167631
-2038471.65555396,1135187.8828901,840.652153230231
-1918575.27724022,1004570.64814109,448.308632795475
-2108559.69183177,1072287.90348806,4619.83793603578
-2100974.8926023,1034577.03866691,6.20405997626237
-2149154.1924803,1001607.74067434,3617.88331955178
-1964894.76851876,1044865.89690527,1410.48241353587
-2224670.46162638,1042851.92477157,86.8443314184755
-2322549.9832013,1236232.79220166,2139.39115421748
-2303577.85997235,1280841.80177352,1205.94431493708
-1964840.78589918,1044768.83673212,1186.82251656921
-2223797.13265096,1046039.38924441,2937.81137243456
-2328628.22843337,1272557.27304885,18.8840566212943
-2170610.47243796,1001910.3906498,3605.39061873999
-487778.862912783,1700853.12021024,89.1947258100198
-509814.611115063,1634417.42391864,723.239838208072
-615705.81489226,1636427.69631289,126.385522069386
-478899.105347201,1642872.21489844,2627.79330398811
-621235.779666119,1661777.54291132,393.054397417038
-608243.43206645,1617120.40537038,1435.78334764857
-478334.943662814,1792989.49836902,7.62636705458406
-504844.843354847,1707869.78053316,5591.22852826337
-499104.081997168,1691996.32273992,320.116749989862
-479752.28610024,1642692.21725555,3817.73065980328
-494945.339989681,1694831.4684452,5.80134226907951
-499154.720977211,1692028.84790202,391.88459452243
-463868.962482019,1665704.82247887,3129.56579823495
-519086.522988201,1536442.43629141,1726.16204260524
-509878.373520236,1710392.71272671,67.1395278812696
-580451.313217273,1449526.20622874,224.925625041385
-463849.694375427,1701414.33980836,3315.97437241089
-479819.838792175,1642842.2138891,199.784622640978
-468506.639198361,1642056.1110913,871.355453417777
-466367.128609328,1790724.57722988,23.7912489825747
